INFO 2024-04-17 15:51:34,415 autoreload 7636 13824 Watching for file changes with StatReloader
INFO 2024-04-17 15:51:35,826 basehttp 7636 19064 "GET / HTTP/1.1" 200 10629
WARNING 2024-04-17 15:51:36,162 log 7636 19064 Not Found: /favicon.ico
WARNING 2024-04-17 15:51:36,162 basehttp 7636 19064 "GET /favicon.ico HTTP/1.1" 404 2115
INFO 2024-04-17 15:51:39,774 basehttp 7636 19064 "GET /admin HTTP/1.1" 301 0
INFO 2024-04-17 15:51:39,805 basehttp 7636 19188 "GET /admin/ HTTP/1.1" 200 17794
INFO 2024-04-17 15:51:39,881 basehttp 7636 1596 "GET /static/admin/simpleui-x/fontawesome-free-6.2.0-web/css/all.min.css HTTP/1.1" 200 101784
INFO 2024-04-17 15:51:39,883 basehttp 7636 19188 "GET /static/admin/simpleui-x/elementui/theme-chalk/index.css HTTP/1.1" 200 238628
INFO 2024-04-17 15:51:39,887 basehttp 7636 1596 "GET /static/admin/simpleui-x/css/index.css?_=3.2 HTTP/1.1" 200 6994
INFO 2024-04-17 15:51:39,888 basehttp 7636 19188 "GET /static/admin/simpleui-x/waves/waves.min.css?_=2.1 HTTP/1.1" 200 3861
INFO 2024-04-17 15:51:39,892 basehttp 7636 19188 "GET /static/admin/simpleui-x/img/logo.png HTTP/1.1" 200 115997
INFO 2024-04-17 15:51:39,892 basehttp 7636 1596 "GET /static/admin/simpleui-x/js/vue.min.js?_=2024.4.1 HTTP/1.1" 200 93675
INFO 2024-04-17 15:51:39,896 basehttp 7636 1596 "GET /static/admin/simpleui-x/automatic/dicts.js?_=2024.4.1 HTTP/1.1" 200 12677
INFO 2024-04-17 15:51:39,899 basehttp 7636 19188 "GET /static/admin/simpleui-x/elementui/index.js?_=2024.4.1 HTTP/1.1" 200 586253
INFO 2024-04-17 15:51:39,902 basehttp 7636 1596 "GET /static/admin/simpleui-x/automatic/segment.js?_=2024.4.1 HTTP/1.1" 200 1194
INFO 2024-04-17 15:51:39,904 basehttp 7636 19188 "GET /static/admin/simpleui-x/locale/en-us.js?_=2024.4.1 HTTP/1.1" 200 811
INFO 2024-04-17 15:51:39,906 basehttp 7636 1596 "GET /static/admin/simpleui-x/js/cookie.js?_=2024.4.1 HTTP/1.1" 200 524
INFO 2024-04-17 15:51:39,906 basehttp 7636 19188 "GET /static/admin/simpleui-x/theme/theme.js?_=2024.4.1 HTTP/1.1" 200 4274
INFO 2024-04-17 15:51:39,909 basehttp 7636 1596 "GET /static/admin/simpleui-x/waves/waves.min.js?_=2024.4.1 HTTP/1.1" 200 6329
INFO 2024-04-17 15:51:39,909 basehttp 7636 19188 "GET /static/admin/simpleui-x/js/menu.js?_=2024.4.1 HTTP/1.1" 200 1216
INFO 2024-04-17 15:51:39,911 basehttp 7636 1596 "GET /static/admin/simpleui-x/js/index.js?_=2024.4.1 HTTP/1.1" 200 21589
INFO 2024-04-17 15:51:40,024 basehttp 7636 19188 "GET /static/admin/simpleui-x/elementui/theme-chalk/fonts/element-icons.woff HTTP/1.1" 200 28200
INFO 2024-04-17 15:51:40,025 basehttp 7636 1596 "GET /static/admin/simpleui-x/fontawesome-free-6.2.0-web/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150472
INFO 2024-04-17 15:51:40,028 basehttp 7636 19188 "GET /static/admin/simpleui-x/fontawesome-free-6.2.0-web/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 25096
INFO 2024-04-17 15:51:40,030 basehttp 7636 1596 "GET /static/admin/simpleui-x/fontawesome-free-6.2.0-web/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 107460
